"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012511","Kiwi fruit","","CPA_A012511","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012512","Raspberries","","CPA_A012512","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012513","Strawberries","","CPA_A012513","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012519","Other berries, the fruits of the genus vaccinium n.e.c.","","CPA_A012519","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01252","Fruit seeds","","CPA_A01252","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012520","Fruit seeds","","CPA_A012520","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01253","Nuts (excluding wild edible nuts, groundnuts and coconuts)","","CPA_A01253","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012531","Almonds","","CPA_A012531","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012532","Chestnuts","","CPA_A012532","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012533","Hazelnuts","","CPA_A012533","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012534","Pistachios","","CPA_A012534","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012535","Walnuts","","CPA_A012535","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012539","Other nuts (excluding wild edible nuts, groundnuts and coconuts)","","CPA_A012539","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01259","Other tree and bush fruits n.e.c.","","CPA_A01259","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012590","Other tree and bush fruits n.e.c.","","CPA_A012590","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0126","Oleaginous fruits","","CPA_A0126","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01261","Olives","","CPA_A01261","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012611","Table olives","","CPA_A012611","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012612","Olives for production of olive oil","","CPA_A012612","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01262","Coconuts","","CPA_A01262","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012620","Coconuts","","CPA_A012620","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01269","Other oleaginous fruits","","CPA_A01269","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012690","Other oleaginous fruits","","CPA_A012690","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0127","Beverage crops","","CPA_A0127","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01271","Beverage crops","","CPA_A01271","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012711","Coffee beans, not roasted","","CPA_A012711","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012712","Tea leaves","","CPA_A012712","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012713","Mat̩ leaves","","CPA_A012713","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012714","Cocoa beans","","CPA_A012714","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0128","Spices, aromatic, drug and pharmaceutical crops","","CPA_A0128","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01281","Spices, not processed","","CPA_A01281","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012811","Pepper (piper spp.), raw","","CPA_A012811","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012812","Chillies and peppers, dry (capsicum spp.), raw","","CPA_A012812","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012813","Nutmeg, mace and cardamoms, raw","","CPA_A012813","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012814","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","","CPA_A012814","valid","2018-03-23"
